127.0.0.1 - - [23/Nov/2017:09:24:07 +0530] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:24:08 +0530] "GET /ToDo/ HTTP/1.1" 200 1843
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:24:09 +0530] "GET /ToDo/controller/setPasswordController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:24:09 +0530] "GET /ToDo/services/homeService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:24:09 +0530] "GET /ToDo/controller/homeController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:24:09 +0530] "GET /ToDo/controller/passwordController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:24:09 +0530] "GET /ToDo/scripts/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:24:09 +0530] "GET /ToDo/controller/loginController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:24:09 +0530] "GET /ToDo/directives/homeDirectives.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:24:09 +0530] "GET /ToDo/services/setPasswordService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:24:09 +0530] "GET /ToDo/services/passwordService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:24:09 +0530] "GET /ToDo/styles/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:24:09 +0530] "GET /ToDo/styles/topNavBar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:24:09 +0530] "GET /ToDo/templates/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:24:09 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:24:34 +0530] "GET /ToDo/facebookLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:24:40 +0530] "GET /ToDo/getFacebookLogin?code=AQAT7SrBeId0mOObjJbC4wCCHZm8-7L9vhabkHK7znUIy_Kdzc3EcmC5lwBzd9UQcFHz2pswwwH57PWAJeG3LxC6r4--G5GOvS_pROyKD5DXB7iwe74irYxpGUDT8FgtWYMCLTmR_giQ9DYIDvyrzob04Zry9XPqPH_1QN8x9TZHXw5XxxxxK57ovGIPSp4EMF6vzmTyqy9mG_icLLVlI1o8vrXj2gkM0bmeHeQ9H6LsS_7sk5EghhnADG-JVhRR6uNVF9t19sVyCBbmVpd5DeIIbp54P2NU1roxohf0QBamKlJVdSffOs_cVjVki937EC8&state=todoappstate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:24:40 +0530] "GET /ToDoApp/ HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:25:09 +0530] "GET /ToDo/ HTTP/1.1" 200 1843
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:25:26 +0530] "POST /ToDo/login HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:25:26 +0530] "GET /ToDo/templates/Home.html HTTP/1.1" 200 3552
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:25:26 +0530] "GET /ToDo/templates/TopNavBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:25:26 +0530] "GET /ToDo/templates/SideNavBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:25:26 +0530] "GET /ToDo/noteList HTTP/1.1" 200 1231
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:25:26 +0530] "GET /ToDo/images/ic_dehaze_black_48px.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:09:25:27 +0530] "GET /ToDo/images/remindMe.svg HTTP/1.1" 304 -
